RunCollatz < RunCollatz.in
3145 744 217
8391 2830 262
5341 1683 238
570 3542 217
4233 3827 202
6043 2262 238
9118 361 262
6762 8024 257
6310 82 262
5426 3191 238
6368 8997 257
4235 4678 215
1627 691 182
6058 4525 236
3169 9615 262
359 8206 262
7387 6313 257
4347 5101 215
4995 2727 238
6553 4917 262
3530 5579 238
2291 8947 262
6971 2648 262
9081 9052 185
8594 9632 260
8628 858 262
1887 1313 180
8356 9215 247
91 3513 217
9480 4413 262
8970 9611 260
2275 6190 262
7642 6356 257
5434 6621 262
7889 8988 252
4567 8339 262
7285 7771 239
418 6857 262
2261 607 183
238 5850 238
3060 7206 262
8519 5218 262
784 4946 238
8459 6874 257
7638 874 262
484 4290 238
479 6608 262
9315 2758 262
5730 4472 236
3460 1101 217
9439 3619 262
1389 8026 262
1234 3075 217
3682 8158 262
359 3494 217
700 271 145
1840 3418 217
8364 5570 262
8795 2623 262
9848 3174 262
7463 6432 257
9391 6683 260
5792 4293 236
5116 5058 179
6158 1522 238
1492 8575 262
2952 1948 217
5022 9232 262
3741 538 238
4031 5055 215
5326 4099 215
7517 1082 262
3003 3517 199
6140 2232 238
5405 1797 238
4581 2339 238
9022 9219 198
9863 3971 262
5380 4813 210
2686 4978 238
9905 1537 262
3484 4177 238
9760 9208 260
9745 4858 262
9912 3500 262
3951 128 238
7561 5237 262
5106 7819 262
50 564 144
8712 1245 262
9935 1806 262
7376 3292 262
3615 8956 262
3769 3590 238
4919 8994 262
6883 2806 262
6983 4823 262
4031 6718 262
1575 3094 217
6594 127 262
254 1487 182
3075 544 217
4714 7815 262
8378 8180 234
5776 4763 236
2920 7089 262
6733 5711 262
1018 295 179
236 347 144
5692 1138 238
3944 5154 215
6329 2574 262
9292 926 262
4019 6711 262
6837 7218 257
5056 6964 262
3859 7091 262
4905 8131 262
2662 8572 262
9686 9634 185
3074 4790 238
6852 2605 262
9251 9806 260
6504 7869 257
9007 9486 260
4640 2196 238
1121 2950 217
227 968 179
7678 6764 257
3982 597 238
7561 866 262
7956 9037 252
3519 7771 262
6343 9212 257
5197 2533 238
7322 2380 262
4985 8271 262
4428 4173 215
2041 4235 238
73 7284 262
5831 7399 262
348 1064 179
2031 6951 262
3715 574 238
7523 6060 262
6925 4048 262
9436 5083 262
9205 1233 262
444 2955 217
5487 1899 238
4279 5641 236
263 9160 262
9684 9263 198
9849 1042 262
8325 1724 262
9123 6273 257
7336 4155 262
7458 5822 262
2748 9366 262
1777 1172 180
5219 270 238
1704 8702 262
9934 4654 262
3960 908 238
2807 6729 262
8721 5798 262
1309 7085 262
2699 5335 238
6377 992 262
2716 8899 262
5172 1053 238
1560 8190 262
4011 2507 238
8225 9017 247
6540 3110 262
3379 1 217
5054 8110 262
9115 5082 262
5990 1339 238
8068 9427 260
5224 5148 179
2232 6788 262
2123 6533 262
3876 1282 238
180 4851 238
2255 6591 262
1132 5351 238
7858 3814 262
9182 1495 262
4604 6082 236
2434 5721 238
182 7983 262
9416 7488 260
8826 9297 260
8723 5405 262
552 6893 262
33 298 128
3182 9135 262
416 8507 262
9709 7058 260
10000 596 262
2298 1963 183
5777 7484 262
8978 155 262
2588 1310 209
3383 9933 262
4267 5022 215
8861 3564 262
9212 3683 262
9087 7686 252
931 4286 238
4584 5991 236
1477 7315 262
5821 4117 236
7526 1893 262
8840 5529 262
7491 7526 208
1361 1137 182
7644 9619 260
929 338 179
6622 6583 244
7956 4311 262
4226 889 238
4571 6816 262
854 3438 217
7723 9 262
2351 1784 183
9098 8658 247
9127 3828 262
2072 1270 180
3150 6652 262
529 911 179
8399 640 262
6611 1889 262
8578 2394 262
8977 3891 262
4553 5200 210
6088 6932 262
100 8778 262
8567 658 262
7018 953 262
2736 2642 160
1299 9369 262
3196 8185 262
5806 6777 262
3429 5267 238
2529 8955 262
9594 309 262
2198 7279 262
9673 2556 262
6446 775 262
2326 5001 238
8284 998 262
6128 8413 262
5422 8383 262
9335 4694 262
7335 2440 262
8160 8422 234
2958 4986 238
1762 1355 180
2973 8763 262
7717 1542 262
1851 1853 131
5483 3663 238
6218 400 262
1174 5155 238
6507 9016 257
6365 9852 260
8264 4791 262
3173 2492 217
3538 38 217
8829 8860 172
7281 872 262
5857 6988 262
8342 6591 257
5353 3971 215
5512 7666 262
9518 3070 262
3084 7362 262
4113 1352 238
6507 9301 260
4668 1639 238
1490 9365 262
4155 1033 238
9876 6105 262
6142 3680 238
2539 3413 217
637 4970 238
1957 6171 262
2761 2845 173
6815 6650 182
4315 4466 215
3887 2327 238
6040 184 238
1536 6970 262
2622 153 209
1791 4394 238
110 7290 262
4674 9632 262
5736 4265 236
4296 4549 215
4314 1878 238
3199 6834 262
9356 4950 262
7794 5156 262
8157 8469 234
2934 961 217
3287 8824 262
5359 3172 238
141 5678 238
2182 3246 217
3991 2762 238
51 324 131
9955 4101 262
8365 1076 262
5625 2043 238
3920 2660 238
5845 6290 262
1239 3470 217
4977 1552 238
20 5384 238
6344 3134 262
1957 9305 262
2476 5982 238
8012 3667 262
6913 8968 257
1730 193 182
6869 903 262
5003 8132 262
9208 3175 262
5217 9719 262
2378 1184 183
7473 5488 262
8958 4574 262
6126 5063 236
6798 3934 262
3419 2497 217
8154 3142 262
5475 1727 238
5394 6981 262
5949 3486 238
31 2306 183
9560 4030 262
2161 6899 262
6425 4563 262
4281 7720 262
8903 1642 262
3481 3011 199
7584 2727 262
4141 8790 262
2724 3709 217
2558 939 209
432 2494 209
4221 711 238
7691 5906 262
9392 9614 198
8271 3639 262
7668 9422 260
2672 7830 262
8744 6181 257
3900 9096 262
7089 3025 262
2387 9155 262
8233 570 262
5711 9970 262
31 2374 183
9664 8434 260
7280 2588 262
9650 95 262
2352 1500 183
7465 7340 239
7331 1743 262
7516 2087 262
9916 1350 262
3882 187 238
5635 5012 236
4388 4134 215
3288 2723 217
9644 6774 260
6743 1520 262
245 5355 238
140 3125 217
2064 6260 262
6354 7419 257
5270 1713 238
5405 8706 262
6800 2734 262
4820 2735 238
436 4316 238
854 1088 179
2451 670 183
4803 6488 262
5563 6838 262
3611 8090 262
5961 5206 236
6912 6705 182
9830 2558 262
8817 3404 262
822 1893 182
3606 1523 217
6580 2444 262
1529 5362 238
4448 3379 238
4046 2701 238
3788 4883 215
5552 4900 210
1387 2590 209
9427 354 262
4795 6949 262
8507 3037 262
6093 7108 262
9665 5418 262
8821 5922 262
4167 8481 262
6355 5995 262
8438 4124 262
9485 2934 262
6313 6318 156
9018 3932 262
5166 6710 262
1609 9157 262
1746 7070 262
7423 2996 262
6296 1172 262
560 8570 262
5677 4802 236
6572 6653 244
8926 5341 262
173 1744 182
4090 3092 238
3567 6528 262
5813 8879 262
5197 3051 238
3334 2125 217
5187 4214 215
3371 8500 262
5569 6795 262
6142 5116 236
2640 9343 262
4264 2438 238
3591 3199 194
6203 9940 260
1632 6514 262
8258 5129 262
4572 1805 238
4684 2347 238
1226 8139 262
7541 496 262
8973 6422 257
635 7227 262
5726 4159 236
953 357 179
5473 7646 262
3340 3447 181
5884 8112 262
7662 7604 177
7543 5826 262
2340 217 183
5345 9175 262
7331 597 262
9295 6268 260
758 2014 182
8861 520 262
3293 4651 238
1877 7833 262
1991 280 182
636 3954 238
1599 9296 262
2742 6108 238
571 4938 238
2541 4977 238
802 4585 238
4801 84 238
5610 9493 262
6441 6497 169
2764 2940 217
1305 5736 238
2607 9874 262
4524 165 238
4350 2252 238
2531 2752 191
6705 6340 244
1987 3166 217
5626 8303 262
9592 1080 262
2408 2548 209
7132 8485 252
4920 9562 262
9054 1932 262
8428 529 262
9820 5495 262
7582 7544 177
3769 1124 238
7640 188 262
2439 4644 238
7395 1989 262
4681 1321 238
4487 4099 215
8753 3019 262
4099 6464 262
9011 4696 262
3180 6506 262
6067 6143 187
4426 8099 262
4979 1473 238
6967 2854 262
6749 4798 262
2273 4548 238
1087 517 179
5160 9913 262
1901 9878 262
1198 2554 209
3004 2933 173
5952 2036 238
8499 8108 234
9155 50 262
2907 3862 238
4 2335 183
6785 5326 262
6798 4429 262
3634 1764 217
6561 116 262
1015 382 179
898 5186 238
5098 2101 238
8330 2409 262
1314 3350 217
2635 5880 238
7915 4317 262
8776 8586 216
4987 2766 238
6627 7931 257
6617 7893 257
9570 6630 260
7410 9753 260
1516 6367 262
2834 7396 262
7777 4429 262
9614 3848 262
2301 5027 238
3787 1063 238
764 630 171
6509 5101 262
9417 3398 262
1983 776 182
3541 4545 238
8827 3321 262
7566 6519 257
9500 1795 262
1547 7135 262
9854 6909 260
4304 3063 238
3843 2687 238
6535 8433 257
9811 9808 167
870 8835 262
5816 3597 238
8697 7985 234
1383 2325 183
9452 4466 262
5362 9717 262
3038 9344 262
5862 4188 236
5982 603 238
4089 5361 215
8621 3880 262
3294 3942 238
6629 2925 262
7709 7136 239
6943 3163 262
1997 3871 238
7467 4164 262
8501 7812 252
6488 2516 262
3333 6235 262
5951 2291 238
1634 8694 262
2881 5340 238
2294 7495 262
2855 5214 238
5445 6383 262
324 1476 182
752 8739 262
5874 6952 262
6466 4812 262
8682 9169 247
9684 4814 262
8978 2500 262
5015 4536 210
770 5465 238
4108 8347 262
3392 3073 199
8412 5741 262
9588 2624 262
7837 7058 239
3440 8794 262
6621 3282 262
8372 115 262
3419 7372 262
8535 597 262
9765 9884 211
4698 3568 238
6068 5801 218
336 3675 217
5491 7434 262
2133 7458 262
530 5950 238
1691 5524 238
8148 5293 262
2350 7630 262
6423 2336 262
1969 2141 170
2256 3044 217
6767 340 262
937 2026 182
8261 1654 262
5221 7053 262
9205 2958 262
2984 1288 217
8722 9541 260
6998 4827 262
7128 7206 195
2729 3879 238
9171 5170 262
2799 7228 262
9564 1521 262
3661 9222 262
8617 7884 252
8224 2268 262
4293 5383 215
7036 5512 262
2564 2554 147
1863 8609 262
9896 1769 262
7661 1199 262
2377 4969 238
2174 1010 182
4888 9504 262
4674 1255 238
8482 4058 262
1930 3824 238
3045 4397 238
2281 1943 183
4210 8013 262
9748 6856 260
2367 4855 238
3760 3135 238
1743 1282 180
9402 1974 262
3172 1639 217
2959 3414 199
4423 1900 238
7756 1485 262
9091 5662 262
6072 8781 262
2604 3924 238
8321 8001 203
9943 2001 262
13 6953 262
3808 505 238
5359 9760 262
2895 2526 191
159 9118 262
1091 4637 238
2627 9561 262
2974 615 217
8866 1938 262
3422 3749 238
9410 6621 260
5401 8864 262
2787 1833 209
9834 8005 260
6357 7459 257
4411 6128 236
6632 6369 244
6129 4570 236
3447 8342 262
7459 5375 262
11 3606 217
3166 4902 238
1868 8990 262
927 2491 209
6239 733 262
3706 700 217
9563 2001 262
3833 5458 215
3462 2349 217
9808 18 262
2498 6170 238
2539 570 209
5140 9129 262
7471 5019 262
393 8586 262
8543 1281 262
2534 6755 262
5744 1708 238
551 4401 238
1486 3022 217
3721 6789 262
5141 5191 179
648 9635 262
1984 5326 238
1695 462 182
6631 8143 257
5064 4192 215
3321 5521 238
539 6555 262
1493 7143 262
8423 931 262
7686 35 262
8095 7309 252
1709 9781 262
2803 8645 262
1785 9546 262
1088 6523 262
6158 6926 262
8603 1736 262
8549 4493 262
8987 297 262
841 1531 182
7052 4050 262
6957 513 262
7655 7590 177
4873 8449 262
8483 2429 262
6089 2558 238
2338 6577 262
5221 7798 262
3695 5140 238
8015 7006 252
283 4783 238
2870 524 209
5016 5237 179
1885 1418 180
9300 354 262
755 2725 209
3237 6351 262
293 7711 262
6159 7243 262
6024 5165 236
7722 4642 262
7570 2112 262
6261 6411 200
7903 2791 262
6148 9956 262
1090 5917 238
6440 2782 262
8018 3959 262
5376 7807 262
4512 9902 262
8979 4675 262
7378 5266 262
2977 8567 262
2162 7670 262
2834 9135 262
128 4537 238
3000 6907 262
3317 7698 262
6840 9261 260
5568 7571 262
3487 2987 199
5768 3009 238
6967 6278 257
436 137 144
38 8694 262
9720 4947 262
213 5368 238
3935 7097 262
1118 9541 262
8675 6096 262
632 3951 238
7209 8803 252
2852 3631 217
9243 526 262
4448 9691 262
2677 1162 209
4170 7935 262
564 4796 238
4932 1136 238
6181 7352 257
2298 1321 183
6689 5901 262
2997 8862 262
8402 6975 252
3070 4115 238
4417 3429 238
8583 53 262
3683 1626 217
8503 1434 262
1124 9278 262
6791 2950 262
7236 152 262
4947 961 238
8448 7800 252
1503 6230 262
7550 4629 262
529 3800 238
9014 590 262
7564 9877 260
3991 3767 189
7195 6985 195
7037 4760 262
6385 5777 262
7210 7072 195
2701 1239 209
540 4685 238
4836 9491 262
451 7776 262
1927 9782 262
2363 5251 238
9879 3429 262
3580 6265 262
6854 6759 182
6635 8945 257
2712 770 209
4106 6978 262
1737 6258 262
2035 1143 182
4566 4473 184
5711 5596 205
6633 7266 257
3108 6250 262
377 1468 182
7602 3559 262
5161 2303 238
2083 9964 262
6228 5039 262
1797 2015 175
959 9434 262
6555 8431 257
5408 3670 238
9928 660 262
1802 3496 217
7968 8314 190
261 2719 209
6336 30 262
2632 6893 262
4713 9444 262
9354 3008 262
1663 2314 183
8629 4514 262
9552 97 262
2111 4857 238
642 7700 262
2482 3070 217
3091 7196 262
7855 7890 177
7737 9370 260
7683 6009 262
8727 5705 262
5734 4296 236
1188 1415 177
858 8365 262
7725 2252 262
4565 211 238
4724 5739 236
5835 3194 238
4402 627 238
8326 7946 252
7367 1395 262
8590 807 262
5048 457 238
9827 2796 262
8804 2785 262
4841 3861 215
8156 3883 262
1649 574 182
5291 5696 236
7947 2506 262
9068 9367 260
5105 8864 262
8409 3791 262
769 7291 262
5236 9162 262
556 9094 262
6252 2602 262
9411 9145 260
8292 7652 252
436 5589 238
9449 3448 262
3682 5276 238
2201 3957 238
9652 5330 262
7835 3843 262
9561 3950 262
9165 6902 257
7044 4665 262
1956 7573 262
6734 7812 257
3257 3543 181
2497 3641 217
9137 5860 262
3511 8259 262
3847 7429 262
876 298 179
1925 3295 217
7251 4557 262
9886 4126 262
4320 3254 238
3556 4072 238
7325 3881 262
4897 2720 238
6645 4368 262
8531 3204 262
6747 9730 260
3371 1787 217
7646 5595 262
3853 8859 262
6287 7509 257
7806 7699 221
7345 3514 262
4422 9731 262
208 948 179
4201 659 238
4730 879 238
4759 4108 215
3180 2054 217
2773 6008 238
9211 6176 257
5905 1303 238
9441 2309 262
7903 5627 262
4486 7087 262
947 8107 262
5805 7124 262
638 8752 262
4834 9502 262
449 1411 182
2070 1393 180
2272 1001 183
5109 3151 238
1557 3382 217
9389 8288 260
4463 4329 215
1984 4952 238
7260 6719 257
2346 1424 183
4862 1515 238
5973 3183 238
6658 5808 262
912 8130 262
7631 7295 239
5058 5745 236
7138 8079 252
9079 7127 252
6629 5761 262
9142 4187 262
8826 8185 234
8866 4883 262
9834 9640 198
6359 849 262
8624 3445 262
1311 5056 238
4590 3486 238
5645 7284 262
5413 1247 238
4894 6556 262
2301 3043 217
1121 9951 262
3429 5790 238
1550 6551 262
738 57 171
8242 7043 252
1925 5915 238
5555 3459 238
659 8110 262
1555 8265 262
3320 9282 262
9119 9217 198
6500 4261 262
5507 4764 210
1319 8264 262
1306 400 182
6702 9971 260
2112 8778 262
5329 130 238
187 13 125
7056 2418 262
4684 4780 197
4590 8980 262
7090 238 262
4854 5248 210
881 4996 238
4212 4525 215
8785 10000 260
1115 712 179
5327 644 238
1043 8785 262
5108 6633 262
1762 4097 238
4226 7219 262
7232 3442 262
2211 764 182
1895 4287 238
9618 6895 260
3484 2836 217
8083 3059 262
8054 8338 203
9214 5316 262
5315 8618 262
5681 7999 262
8642 2781 262
1565 1007 182
7639 6036 262
132 3024 217
243 5753 238
5546 710 238
7825 3826 262
4464 7757 262
1003 6072 238
8907 4081 262
3492 4486 238
9175 6990 252
8657 1545 262
162 8389 262
2739 3971 238
3103 5842 238
6849 1380 262
3767 1019 238
4043 839 238
2943 251 217
960 4285 238
4462 8489 262
2597 5136 238
1207 8925 262
9357 3599 262
4436 114 238
3455 2848 217
745 9963 262
4703 2111 238
2433 7258 262
9452 7441 260
5172 1887 238
2905 6300 262
3490 5290 238
5540 6947 262
7583 2785 262
1273 2851 209
7987 2044 262
7320 3869 262
3819 9193 262
5658 6677 262
5876 8254 262
8216 5464 262
3926 6620 262
3878 9270 262
6710 2710 262
4596 9681 262
2332 8233 262
3523 7501 262
4447 5821 236
4957 5414 192
8265 2030 262
425 6229 262
6449 6251 200
1795 7745 262
773 6619 262
4873 3805 215
9268 6648 260
9620 9440 198
8710 3194 262
2255 9849 262
9529 1771 262
6356 6851 244
4351 1860 238
4032 6230 262
1643 5149 238
7178 8989 252
1569 9907 262
2509 3955 238
1699 4370 238
988 4304 238
8108 2471 262
5470 2212 238
8004 3727 262
3272 1441 217
1289 3065 217
1187 5527 238
2377 817 183
9028 7542 252
123 3079 217
8227 3060 262
8400 1766 262
8024 5405 262
9359 9968 242
689 533 145
1188 7409 262
6231 1677 262
240 9295 262
9373 8052 260
9493 8243 260
1307 2645 209
4523 781 238
7950 2494 262
6387 6899 244
9977 3329 262
6388 6510 169
4627 8203 262
9959 1139 262
7459 2650 262
3182 5669 238
9429 8147 260
6175 721 262
15 5659 238
63 6415 262
4657 5740 236
4736 9555 262
335 2316 183
1161 9258 262
2508 4636 238
7965 7547 252
4056 2484 238
7038 704 262
1843 5034 238
7684 3349 262
5369 9301 262
7447 7217 239
7938 1150 262
3160 3622 199
6388 4304 262
43 3222 217
2776 1044 209
9711 4778 262
387 9463 262
4098 871 238
8418 2894 262
1729 2062 180
9118 8825 247
3859 8767 262
8467 960 262
260 7894 262
5110 187 238
1336 4058 238
4031 3047 238
3703 4496 238
7717 418 262
7814 97 262
4875 493 238
6307 7524 257
8395 5261 262
4507 404 238
8818 3164 262
8340 6235 257
1353 7935 262
8894 8550 216
6443 9819 260
6 5505 238
5914 7905 262
7303 7693 239
2188 9945 262
362 1005 179
1102 6257 262
6749 4527 262
2051 2328 183
3940 3055 238
9810 6797 260
6312 8446 257
4681 8627 262
2913 1003 209
9553 6033 262
2204 8158 262
3662 2347 217
251 8561 262
6253 5928 262
5872 7554 262
8558 8441 203
1049 2585 209
7112 6011 262
8338 4149 262
3555 5514 238
8662 2278 262
7075 3364 262
8343 1325 262
2327 1755 183
4140 1255 238
5765 1879 238
4226 6343 262
4903 5778 236
1705 828 182
8381 1155 262
5947 7576 262
161 3291 217
9301 6995 260
1143 3624 217
5489 3991 215
2620 4697 238
4413 4150 215
1826 9694 262
1449 2755 209
361 4152 238
2383 5588 238
1930 6125 238
1903 2960 217
3787 3184 238
4338 3607 238
7535 2168 262
1810 6637 262
3631 4047 238
7670 1110 262
1452 1126 182
2174 3158 217
3659 4071 238
3765 6586 262
9340 5484 262
5987 1565 238
3504 6053 238
2177 8369 262
1328 5433 238
4968 431 238
4038 1467 238
3634 9305 262
2293 1572 183
5618 1795 238
9256 2276 262
3401 9639 262
9148 708 262
4778 5574 236
2160 9158 262
993 4894 238
6458 7851 257
3903 6979 262
5348 9961 262
1745 2432 183
2862 3027 217
4493 6712 262
2369 6899 262
4822 4478 197
6272 4661 262
3288 6791 262
2781 1880 209
2587 6688 262
8614 8280 234
7437 7364 239
8610 7125 252
4975 8429 262
1760 5067 238
5028 5230 179
7661 3459 262
6485 6772 244
9836 6874 260
125 7330 262
8159 2204 262
3216 4946 238
8089 783 262
2662 6504 262
9543 869 262
5501 5248 192
8963 8156 247
1632 2937 217
7718 7572 177
2639 2959 217
8188 9477 260
2935 4018 238
7141 2200 262
9073 5771 262
9452 3328 262
1883 9197 262
495 7611 262
8393 5099 262
7954 8583 252
5803 1054 238
2653 3848 238
8356 7655 252
592 1615 182
5539 9987 262
2945 4661 238
489 4529 238
8546 7484 252
6035 3423 238
5545 2038 238
5366 5108 192
656 4997 238
2607 7248 262
8698 1150 262
6084 7351 262
8404 3003 262
6851 8239 257
5893 1056 238
9022 5206 262
5192 2836 238
7496 912 262
5440 4489 210
8324 7984 203
7758 337 262
8727 4359 262
9466 3303 262
4651 4092 215
7691 121 262
7623 3609 262
959 6389 262
9391 58 262
8296 9362 260
6769 6241 244
7798 541 262
3376 2142 217
3054 9342 262
3830 7224 262
1559 4845 238
1534 2153 180
6511 9317 260
8971 260 262
4351 2328 238
8801 9973 260
3581 2041 217
4781 2775 238
2832 4539 238
3900 4172 189
6764 7480 257
8020 7020 252
5513 4562 210
255 7747 262
4970 4918 210
9763 4084 262
2588 6529 262
2197 1296 180
1555 5451 238
4130 1167 238
1139 2257 183
4297 2930 238
2056 4719 238
5609 5430 236
9601 4888 262
8719 9508 260
2879 2716 173
3629 6738 262
836 8391 262
3309 3883 238
4318 5806 236
8686 9423 260
7070 3258 262
8708 882 262
8400 8624 203
880 2837 209
2119 5890 238
608 1528 182
6957 4174 262
5413 6216 262
2075 2909 209
1977 4131 238
7220 1305 262
6047 1957 238
5840 8056 262
213 5707 238
5129 6509 262
9766 8898 260
6131 2198 238
7173 8473 252
7662 4530 262
419 4404 238
2284 6132 238
6657 7378 257
9945 5592 262
4853 2070 238
2552 8371 262
6027 6829 262
8785 6124 262
531 2073 182
7780 976 262
7485 7095 239
5992 9260 262
7810 7250 239
2075 8474 262
3003 4982 238
5738 9736 262
5867 9773 262
3502 8021 262
3612 8875 262
944 3446 217
8168 4816 262
1644 9848 262
2323 4194 238
2618 6781 262
4108 9205 262
6299 397 262
6009 1592 238
5194 2290 238
763 3818 238
5151 7268 262
3355 117 217
6241 888 262
5260 5573 236
4447 9742 262
9539 5224 262
39 1743 182
1590 7706 262
8251 1683 262
4815 264 238
9468 868 262
7617 8922 252
6866 5766 262
4407 3625 238
7442 2059 262
9326 1521 262
7989 2592 262
9832 2680 262
8252 4229 262
3970 5091 215
314 2698 209
792 9860 262
3917 353 238
8387 8733 203
8996 2167 262
9386 3201 262
8474 4815 262
580 7002 262
6978 5339 262
7397 1338 262
2858 4419 238
3363 3074 199
2105 846 182
1426 3194 217
4636 6708 262
9406 1747 262
1606 4950 238
1654 6549 262
5282 1874 238
4040 40 238
9592 4277 262
9092 9778 260
3131 8065 262
9756 6023 262
7361 109 262
4527 7152 262
6578 6570 138
7416 4241 262
7434 8682 252
5390 5193 192
6940 2070 262
3371 1147 217
7695 4897 262
6771 5024 262
1415 2976 217
3605 7162 262
6939 1006 262
5422 2696 238
5070 70 238
178 5177 238
8681 2430 262
9000 1056 262
5297 5258 192
3939 2767 238
7959 9082 252
7503 5680 262
6826 1250 262
6147 7225 262
2248 873 183
3848 2917 238
78 3662 217
1019 7452 262
6499 7017 257
3438 6441 262
1617 1569 167
350 9967 262
1022 297 179
1906 9349 262
8467 2670 262
1752 2197 175
7876 2778 262
4027 5606 236
2831 1054 209
1926 173 182
3089 1430 217
1444 5773 238
9577 9519 198
2887 2462 209
8902 2427 262
3995 6324 262
6290 6871 244
3519 697 217
6397 3663 262
6333 5425 262
7621 4864 262
7641 4436 262
6393 1848 262
2901 8019 262
4544 9223 262
7005 4826 262
6951 3984 262
3502 8448 262
909 2879 209
5305 6388 262
9063 6163 262
3033 5652 238
6348 5352 262
5367 2903 238
8327 2744 262
3959 8051 262
8838 2299 262
499 7951 262
5970 5230 236
805 3399 217
4577 513 238
848 7809 262
6256 7879 257
7109 4350 262
737 7164 262
9678 8765 260
4416 6152 236
7855 2710 262
5613 7115 262
6211 3221 262
1271 291 182
8942 169 262
4472 108 238
1690 9440 262
9190 441 262
7305 2494 262
6654 118 262
4348 8152 262
8853 2909 262
6424 1456 262
6573 5942 262
2093 6102 238
5163 7340 262
4455 9947 262
9520 7127 260
3770 7017 262
7185 790 262
7250 2711 262
8502 1656 262
8448 5291 262
7784 4043 262
513 2104 182
6608 789 262
3697 1212 217
9020 1812 262
7753 6472 257
8925 5592 262
2931 6197 262
6144 4088 236
7566 3737 262
753 5663 238
2804 1335 209
397 4290 238
2297 6405 262
1695 8898 262
9293 7097 260
9200 5830 262
6618 6157 262
7368 2159 262
323 6666 262
3138 6387 262
1978 8075 262
4272 2062 238
2501 4909 238
4997 6767 262
