RunCollatz < RunCollatz.in
527432 544981 417
687684 456199 470
120747 723861 470
599742 783849 468
725345 118839 470
725409 311553 470
595124 445843 470
836431 129270 470
385384 667009 470
148851 695111 470
601843 410747 470
228576 73839 386
51538 764584 470
935456 876924 476
113845 359422 443
673130 508229 470
446896 514936 470
240125 978547 525
172861 810069 470
407070 718038 470
278111 152983 443
592771 845569 525
775070 542651 468
160830 127223 383
74481 409529 443
649090 678047 429
432967 675750 470
624832 389062 470
514744 360973 470
902409 793074 525
62401 4440 340
278875 709550 470
971062 812101 525
656142 696215 442
8804 847563 525
800861 684726 468
628948 368420 470
220893 190429 386
402762 434092 449
987478 220244 525
936460 674603 525
265298 180134 443
440097 673095 470
375998 515187 470
88251 341428 443
52347 416319 449
909252 679206 525
248672 180248 443
503168 555575 470
91688 585793 470
188402 926452 525
829967 662934 468
670639 682857 385
881914 869452 432
927095 798175 525
878985 534528 525
831322 20118 470
464989 223246 449
562484 711216 447
681031 900075 525
21442 59411 340
956301 855464 476
854448 842641 428
387112 550122 470
232575 134631 443
949295 592151 525
457714 148307 449
954801 775934 525
503659 945930 525
562008 478903 470
841073 463307 525
423203 873347 525
18104 648145 470
45340 184671 383
75077 537612 470
465283 899441 525
799120 808097 406
894820 168981 525
577265 928810 525
497322 131129 449
849514 600562 525
300567 168522 443
285537 232597 416
337105 604816 470
958641 956488 352
673708 457279 470
482880 206387 449
931767 651914 525
527 202540 383
595691 195658 470
309699 656396 470
536761 128141 470
554458 979365 525
643854 97917 470
22479 447953 449
818429 438220 470
877489 348046 525
74667 76020 325
508226 254408 449
957287 149604 525
872053 447540 525
795178 940525 525
467047 219567 449
156891 303790 443
321139 844471 525
990418 493735 525
400767 72399 443
773758 843864 525
417708 974471 525
676776 607526 447
297290 120262 443
33277 151051 375
236650 99459 443
652841 477296 470
431631 509914 444
352193 449375 449
133530 837281 470
108693 777202 470
890208 876854 401
539931 861235 525
822085 381849 470
971759 647227 525
839898 917971 476
751417 805930 468
804765 595098 468
197543 207834 373
133494 457415 449
52327 557642 470
803326 325448 470
796557 569466 468
660216 847378 525
679866 196805 470
351002 439359 449
67486 146713 375
654621 942858 525
344364 737735 470
209290 197436 373
678218 516033 452
900867 354040 525
372031 607667 470
764902 204602 470
978425 484471 525
444652 59786 449
741358 144760 470
425738 228835 449
194663 904642 525
129984 171242 383
200785 162651 365
218050 65211 386
85893 915752 525
348487 280971 441
469573 325392 449
952829 730863 525
339050 672741 470
534502 895767 525
502617 748509 470
701258 847591 525
746551 696140 424
621762 835692 468
805667 622696 468
287696 605386 470
861610 247373 525
251952 862165 525
254720 747587 470
34682 118647 354
134727 119533 344
440291 206376 449
669318 453653 470
855217 117875 525
80593 940493 525
252141 809176 470
6500 454510 449
83877 217520 386
579229 908098 525
682439 755064 442
392642 580190 470
824274 392120 470
319310 392560 441
598251 256352 470
651751 53140 470
845584 408998 525
696473 493947 470
589572 333697 470
680884 196338 470
442912 626945 470
264693 704620 470
475348 208728 449
923017 825703 525
917000 726189 525
29301 444156 449
250737 974337 525
845729 841977 401
635899 12484 470
755295 421043 470
369300 619111 470
62542 882279 525
643527 296743 470
805228 189514 470
69921 270151 443
414341 672087 470
841824 294724 525
388329 51748 443
26217 119448 354
472553 355648 449
669812 475302 470
378679 582421 470
274253 993633 525
629589 599270 447
868386 77792 525
718446 383070 470
769457 983946 525
474059 326870 449
73794 680679 470
466386 842244 525
854720 776278 525
580496 519945 452
396379 185188 443
410082 185909 449
490250 422513 444
959718 369648 525
847345 884686 432
917917 392760 525
937262 845313 476
578667 316571 470
71758 103751 351
717233 296957 470
10781 972567 525
43883 888803 525
258993 766952 470
616957 240247 470
43696 170603 383
200203 990969 525
421767 52218 449
710577 267393 470
287994 131914 443
274098 602802 470
990206 907883 476
136307 541373 470
988377 723298 525
113966 647783 470
20746 675455 470
860480 753108 525
815696 273756 470
782346 777923 437
416157 825114 470
232850 31129 443
639638 979299 525
415108 764043 470
400968 797552 470
791534 374306 470
512077 336335 470
499258 397796 449
781678 506876 470
939544 787468 525
350096 600437 470
53559 395979 443
44449 302484 443
988602 256287 525
412392 674605 470
786088 91108 470
586031 293726 470
731664 65534 470
263664 45624 443
553589 354545 470
786231 721162 468
614875 27592 470
623585 553177 447
997323 436885 525
163788 819420 470
225422 852200 525
79893 929552 525
499694 489851 426
714642 487719 470
962978 584410 525
660608 771559 468
196383 730663 470
245332 873345 525
829402 568613 468
921837 91954 525
451749 834138 470
501908 40189 449
873482 464133 525
828953 185010 470
94945 205478 383
877577 666272 525
158968 299715 443
159636 944888 525
502704 391930 449
619509 54394 470
741738 95306 470
15580 25715 282
545544 910970 525
609957 859525 525
822650 415337 470
434695 222607 449
647663 921875 525
326924 558188 470
598764 440094 470
36928 758182 470
348146 923074 525
579987 662851 447
374850 650387 470
56628 804545 470
672365 706924 442
556937 654720 447
832748 338772 470
256188 586431 470
737347 231678 470
622631 780861 468
523410 155489 470
789023 234596 470
40002 625001 470
545828 519814 417
395698 510000 449
510090 342368 449
66542 864684 525
75369 401272 443
281027 154868 443
28964 560227 470
706123 226326 470
824057 378702 470
999016 65906 525
634040 919128 525
610377 274378 470
76033 955423 525
407887 245489 441
358056 837655 470
129182 401066 443
612327 844556 525
495524 935476 525
144465 918035 525
332389 797584 470
326750 803767 470
580548 428411 470
675031 311595 470
138658 857211 525
673284 371324 470
747689 15375 470
948301 65828 525
560819 926141 525
453692 47604 449
385491 938514 525
48870 857821 525
531498 577699 452
882318 893313 401
767864 720629 424
803573 469158 470
168939 624702 470
630990 292183 470
805860 28809 470
554171 473163 470
834718 598520 468
919868 601651 525
805963 929882 525
560501 970664 525
516651 923060 525
492194 177859 449
961266 740575 525
976406 406078 525
621446 439875 470
87928 367694 443
162686 466287 449
866638 700169 525
425856 538519 470
786433 360815 470
357952 740903 470
835111 198523 470
151542 112609 375
568878 376836 470
396115 388140 436
642307 110359 470
384399 241010 441
552712 327091 470
955018 582623 525
930602 226327 525
314949 206737 443
392097 661218 470
459309 439686 387
858618 768120 525
556210 453502 470
212274 8497 383
694662 472877 470
356180 284753 441
495784 379278 449
430848 996225 525
19237 942214 525
299775 752397 470
200866 515282 470
305610 583489 470
91992 987904 525
590717 589016 359
148154 461032 449
66056 522977 470
218692 870670 525
600479 257039 470
629781 631100 341
443745 868094 525
119037 385162 443
585350 870158 525
881181 416440 525
908368 652675 525
108164 75241 354
401956 297035 441
932926 889996 476
139703 340860 443
109238 980687 525
787931 573224 468
359074 591056 470
889319 428113 525
872430 214836 525
129712 429055 449
475681 419243 444
320858 913683 525
476547 517263 470
294018 856949 525
784356 677599 468
583625 135497 470
261471 935232 525
22223 777508 470
86353 124948 354
665744 217330 470
539581 193304 470
610173 411789 470
132317 707426 470
615473 352707 470
426986 773896 470
88259 685014 470
18009 196303 383
186322 654998 470
458713 432364 400
948266 534388 525
511256 888811 525
466510 437241 444
756237 825060 468
756020 696898 424
416613 818272 470
298994 233339 416
659033 773611 468
896120 224308 525
980821 453590 525
489929 679778 470
292366 700894 470
901859 222257 525
631230 695620 442
145730 354734 443
316062 91556 443
51606 661707 470
730293 881906 525
227389 603990 470
426178 559724 470
408753 389531 414
955238 952221 414
959105 560769 525
933668 157241 525
129374 666559 470
811273 472617 470
813323 499208 470
481073 944041 525
672650 650907 429
264607 43046 443
422747 611109 470
955194 405860 525
747172 502979 470
279566 877828 525
823482 596398 468
949219 19582 525
59446 833040 470
743061 823611 468
716952 386619 470
201286 420045 449
551809 269881 470
769180 131583 470
25758 695329 470
529844 701721 452
375 311628 443
928067 32226 525
324969 661406 470
822863 323110 470
658786 103854 470
508488 276004 449
934136 299688 525
222197 313558 443
667084 956624 525
65078 808438 470
694005 638676 442
768371 816697 468
441793 952665 525
663545 182559 470
647927 282199 470
625332 425691 470
278282 577161 470
265237 432713 449
405129 834136 470
809903 806225 406
261380 270549 416
892100 955132 476
459654 380777 449
904474 13857 525
429569 948173 525
176458 682216 470
631941 104816 470
99625 820065 470
8328 228764 386
549817 459978 470
622341 695010 442
467095 480889 422
823853 805420 450
209627 540255 470
499379 479583 426
367832 422883 449
324889 939779 525
541903 335888 470
857645 166768 525
622492 229559 470
467187 639632 470
473883 457016 444
14171 914208 525
540253 338433 470
926309 832434 525
36821 171742 383
113308 640181 470
429801 156617 449
497086 876262 525
128664 714263 470
66166 832673 470
670740 543766 452
908343 869108 432
647585 665402 429
354913 450372 449
233045 17018 443
745 270986 443
912333 47407 525
329472 477888 449
607084 360181 470
484691 195736 449
108600 65465 354
793046 43423 470
634538 616292 385
39405 246675 443
103951 699077 470
531520 967751 525
217194 230259 368
388461 233044 441
988577 155129 525
240887 120226 443
59366 227899 386
351046 279699 441
314319 732657 470
909268 865565 432
913776 259455 525
406319 607772 470
177252 921849 525
701853 279933 470
373621 120219 443
67813 246827 443
108163 40552 354
274803 474447 449
724247 106015 470
93014 160752 383
597735 799939 468
447128 447364 263
586003 894197 525
692956 891584 525
963623 363390 525
77904 982995 525
680171 126158 470
327003 654725 470
489049 773762 470
956330 706733 525
783180 817975 468
766747 964290 525
672133 3574 470
472585 550130 470
854208 522551 525
708693 995887 525
646525 559314 447
628731 932 470
665594 22965 470
283397 133929 443
552896 958292 525
614202 468203 470
82365 85095 320
135002 316816 443
362628 305975 441
659426 650290 429
323265 676194 470
794315 395331 470
558325 887279 525
906880 77200 525
826789 196024 470
222925 630822 470
305371 742408 470
801750 83615 470
359992 364851 419
879251 425914 525
690407 72319 470
548529 731096 447
252086 683246 470
472377 380368 449
895242 119336 525
263392 122797 443
791321 516484 468
811465 41614 470
460382 865834 525
812289 128645 470
452746 671166 470
990278 351147 525
107707 64031 354
759031 332204 470
336259 130044 443
580071 714391 447
40717 471439 449
495369 190316 449
34523 926211 525
775943 846667 525
899699 607755 525
366839 444751 449
59520 315435 443
947480 6079 525
311271 922172 525
120341 455262 449
35474 669388 470
162924 144518 383
124280 256420 443
972694 399317 525
417060 951481 525
619929 541928 452
844344 884232 432
988089 135968 525
868497 621091 525
154079 873936 525
729523 570184 447
419323 16827 449
843273 15262 525
673037 516559 452
602388 493783 470
23029 270131 443
132327 997754 525
781000 464209 470
398287 354533 436
800284 844837 525
879762 184639 525
658290 63962 470
759189 789560 468
104117 477228 449
11831 970071 525
537976 972418 525
91524 458454 449
537110 416790 470
821352 443982 470
586034 427369 470
125020 219902 386
384589 766393 470
132986 451903 449
588363 132757 470
673772 914029 525
773988 825440 468
553566 411314 470
904413 180858 525
211004 747578 470
676384 193174 470
56255 401712 443
333777 779293 470
943577 805129 525
5886 738902 470
807360 546227 468
758619 859566 525
443468 203280 449
825454 415756 470
541378 78138 470
950971 70657 525
580167 228792 470
153654 329248 443
293867 314219 384
247203 725264 470
846577 489595 525
855535 409095 525
709005 10606 470
430652 980217 525
544679 176317 470
911107 606034 525
315073 729861 470
355261 46493 443
730598 565510 447
798873 573569 468
355394 218596 443
803318 997205 525
328 448195 449
102714 629647 470
542267 432347 470
381716 372220 423
573145 592979 434
690594 170687 470
251033 939628 525
650773 462040 470
849754 227169 525
797342 20544 470
902300 790523 525
573545 189301 470
820442 21654 470
701068 673515 442
221879 110082 386
521219 399304 470
506641 94158 449
852054 874897 432
175030 517275 470
5575 859621 525
166358 617452 470
910668 552398 525
932758 759732 525
5690 999250 525
637864 126650 470
894270 832156 525
324031 768339 470
193343 406389 443
285510 326487 398
135633 484924 449
480880 86037 449
782174 224574 470
352031 184383 443
181966 23595 383
943626 841091 476
372620 690589 470
473234 463294 413
922399 313660 525
592825 202287 470
600172 245112 470
393524 125051 443
934235 405731 525
125750 860843 525
637634 159534 470
279374 781755 470
171124 990756 525
206540 892954 525
528723 140975 470
900865 684067 525
149830 158718 383
